id,name,locality,city,cuisines,establishment,average_cost_for_two,all_reviews_count,photo_count,has_table_booking,has_online_delivery,aggregate_rating,votes,timings
18487870,Boa-Bao,Chiado,Lisboa,"Oriental, Thai, Malaysian, Filipino, Vietnamese, Korean, Japanese, Chinese",Casual Dining,40,1521,3733,0,0,4.9,3943,"12:00 a 23:00 (Seg, Ter, Qua, Qui, Dom), 12:00 a 00:30 (Sex-Sáb)"
18550207,SOI,Cais do Sodré,Lisboa,"Chinese, Oriental, Japanese, Vietnamese, Korean, Indian, Thai",Casual Dining,45,480,1363,0,0,4.3,1168,"12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)"
8212998,Ground Burger,Praça de Espanha,Lisboa,"Burger, American",Casual Dining,40,1430,2337,0,0,4.5,3000,12 Noon a 12 Midnight
18301225,Amaterasu Pateo do Sushi,Algés,Lisboa,"Sushi, Japanese",Casual Dining,40,676,1094,0,0,4.5,1615,"12:00 a 15:30, 19:00 a 23:30 (Seg-Dom)"
18605050,Contrabando,Santos,Lisboa,"American, Latin American, BBQ, Steak",Casual Dining,30,372,1117,1,0,4.3,869,"Seg-Qui, Dom (12 Noon to 11:59 PM), Sex-Sáb (12 Noon to 2 AM)"
18663838,Amélia Lisboa,Campo de Ourique,Lisboa,"Desserts, Juices, Healthy Food, Finger Food",Café,20,731,1820,0,0,4.6,1799,09:00 a 21:00 (Seg-Dom)
18393793,Polpetta - Almondegaria Artesanal,Arroios,Lisboa,"Portuguese, Healthy Food",Casual Dining,25,514,1121,1,0,4.6,1184,"12:00 a 15:00, 19:30 a 22:30 (Seg-Sáb),Fechado (Dom)"
18581804,Jamie's Italian,Príncipe Real,Lisboa,Italian,Casual Dining,40,647,1920,0,0,4.4,1478,"12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 12 Midnight (Fri-Sat)"
8204902,Siesta,Algés,Lisboa,Mexican,Casual Dining,50,1214,2144,0,0,4.1,3102,"12 Noon to 1 AM (Mon-Fri), 12:30 PM to 1 AM (Sat-Sun)"
18570049,Mez Cais LX,"LX Factory, Alcântara",Lisboa,"Mexican, Beverages",Casual Dining,30,401,716,1,0,4.1,928,"12:00 – 24:00 (Mon, Tue, Wed, Thu, Sun), 12:00 – 23:30 (Fri-Sat)"
18425560,O Quintal,Venteira,Lisboa,"Petiscos, Portuguese, Mediterranean",Casual Dining,35,663,1819,1,0,4.5,1385,"12:30 PM to 3 PM, 7:30 PM to 11 PM"
18677130,Zenith Brunch & Cocktail,Pena,Lisboa,"Healthy Food, Vegetarian, Juices, International",Quick Bites,25,447,1102,0,0,4.6,1152,9 AM to 7 PM
18619569,Soão - Taberna Asiática,Alvalade,Lisboa,"Korean, Chinese, Japanese, Indian, Vietnamese, Thai",Casual Dining,60,309,933,0,0,4.7,871,"12:30 PM a 3:30 PM, 7:30 PM a 11 PM (Seg-Qui), 12:30 PM a 3:30 PM, 7:30 PM a 12 Midnight (Sex), 12:30 PM a 12 Midnight (Sáb), 12:30 PM a 11 PM (Dom)"
18551785,Zero Zero - Parque das Nações,Parque das Nações,Lisboa,"Pizza, Italian",Casual Dining,50,569,1141,0,0,4.4,1303,12 Noon to 12 Midnight
18719249,The Green Affair,Saldanha,Lisboa,"Contemporary, Healthy Food, Vegetarian",Casual Dining,20,172,390,1,0,4.5,493,12:00 a 23:00 (Seg-Dom)
18335531,Nómada,Campo Pequeno,Lisboa,"Sushi, Contemporary",Casual Dining,60,474,1369,1,0,4.9,1248,"12:30 PM a 3 PM, 7:30 PM a 11 PM (Seg-Qui), 12:30 PM a 3 PM, 7:30 PM a 11:30 PM (Sex), 1 PM a 3:30 PM, 7:30 PM a 11:30 PM (Sáb), 1 PM a 3:30 PM, 7:30 PM a 11 PM (Dom)"
8210567,Atalho Real,Príncipe Real,Lisboa,"Steak, Burger",Casual Dining,45,1470,2466,0,0,4.7,3603,"12 Noon a 12 Midnight (Seg-Qua, Dom), 12 Noon a 12 Midnight, 12 Midnight a 1 AM (Qui-Sáb)"
8202867,Psi,Pena,Lisboa,Vegetarian,Casual Dining,30,687,1701,1,0,4.6,1785,"12:30 PM to 3:30 PM, 7:30 PM to 10:30 PM (Mon-Sat), Sun Closed"
18463068,SushiNow,Parque das Nações,Lisboa,"Japanese, Sushi",Casual Dining,45,400,902,0,0,4.5,1018,"12:30 PM to 3 PM, 7:30 PM to 11 PM (Ter-Sex, Dom), 12:30 PM to 3 PM, 7 PM to 11 PM (Sáb), Seg Fechado"
8213530,The Old House,Parque das Nações,Lisboa,Chinese,Fine Dining,60,582,1489,0,0,4.7,1231,"12 Noon a 3 PM, 7 PM a 11 PM"
8214506,Ribs & Company,Odivelas Centro,Lisboa,"American, Steak, Burger",Casual Dining,25,898,2064,0,0,4.5,2006,"12 Noon a 3 PM, 7 PM a 11 PM (Ter-Qui), 12 Noon a 3:30 PM, 7 PM a 11:30 PM (Sex), 12 Noon a 11:30 PM (Sáb), 12 Noon a 11 PM (Dom), Seg Fechado"
18594986,Kin,Mouraria,Lisboa,"Oriental, Beverages",Casual Dining,40,203,648,1,0,4.5,534,"8 PM to 12 Midnight (Mon-Sat), Sun Closed"
8213440,Sala de Corte,Cais do Sodré,Lisboa,Steak,Casual Dining,60,555,1447,0,0,4.7,1211,"12:00 a 16:00, 19:00 a 24:00 (Seg-Qui),12:00 a 16:00, 19:00 a 01:00 (Sex),12:00 a 01:00 (Sáb),12:00 a 24:00 (Dom)"
18401933,The B Temple,Chiado,Lisboa,"Burger, Finger Food",Casual Dining,30,988,1906,1,0,4.6,2304,Seg-Dom (12 Noon to 11:59 PM)
8213881,Don Costini,Saldanha,Lisboa,"Pizza, Burger, Italian, American, Gourmet Fast Food",Casual Dining,25,534,960,1,0,4.0,1044,"12:00 a 16:00, 19:00 a 23:00 (Seg, Ter, Qua, Dom), 12:00 a 16:00, 19:00 a 24:00 (Qui-Sáb)"
8202270,Italy - Lisbona Caffé,Saldanha,Lisboa,"Italian, Pizza",Casual Dining,35,759,1422,1,0,4.4,1807,12 Noon to 12 Midnight
18446907,Heim Cafe,Santos,Lisboa,"Cafe, Healthy Food, Tea",Café,20,557,1155,0,0,4.6,1317,"09:00 – 15:00 (Mon),09:00 – 18:00 (Tue-Sun)"
8203651,Las Ficheras,Cais do Sodré,Lisboa,"Mexican, Beverages",Casual Dining,40,1115,2006,1,0,4.1,2513,"11 AM to 1 AM (Mon-Thu, Sun), 11 AM to 2 AM (Fri-Sat)"
18275215,Butchers,Parque das Nações,Lisboa,"Steak, Burger, Grill",Casual Dining,40,1012,1772,0,0,4.6,2411,"12:00 a 15:00, 19:00 a 23:00 (Seg-Qua),12:00 a 15:00, 19:00 a 23:30 (Qui-Sex),12:30 a 15:00, 19:00 a 23:30 (Sáb),12:30 a 15:00, 19:00 a 23:00 (Dom)"
8201924,Jardim dos Sentidos,Avenida da Liberdade,Lisboa,"Vegetarian, Healthy Food",Casual Dining,35,580,1241,1,0,4.6,1423,"12:00 a 15:00, 19:00 a 22:30 (Seg-Sex),12:30 a 15:30, 19:00 a 22:30 (Sáb),Fechado (Dom)"
18556901,Chutnify - Príncipe Real,Príncipe Real,Lisboa,"Indian, Vegetarian, Healthy Food",Casual Dining,45,345,743,1,0,4.5,824,"12 Noon to 3 PM, 7 PM to 11 PM (Mon-Wed), 12 Noon to 3 PM, 7 PM to 12 Midnight (Thu-Fri), 1 PM to 4 PM, 7 PM to 12 Midnight (Sat), 1 PM to 4 PM, 7 PM to 11 PM (Sun)"
18335493,Ao 26 Vegan Food Project,Chiado,Lisboa,"Vegetarian, Healthy Food, Vegan",Casual Dining,30,511,1332,0,0,4.8,1207,"12:30 PM a 3:30 PM (Seg), 12:30 PM a 6:30 PM, 7:30 PM a 11 PM (Ter-Sáb), Dom Fechado"
8214190,Nogueira's Lisboa,Santos,Lisboa,"BBQ, Latin American, Grill, Steak",Casual Dining,50,942,1933,0,0,4.6,2303,"12:15 a 15:00, 20:00 a 23:00 (Seg-Qui),12:15 a 15:00, 20:00 a 24:00 (Sex),13:00 a 15:00, 20:00 a 24:00 (Sáb),13:00 a 15:00 (Dom)"
18388604,O Asiático,Príncipe Real,Lisboa,"Author, Oriental",Fine Dining,60,491,1472,1,0,4.6,1124,"7 PM a 12 Midnight (Seg-Qui), 12 Noon a 5 PM, 7 PM a 12 Midnight (Sex-Dom)"
